id;qbau_yaml_id;qmass_yaml_id
1;QB-1;MA-01
2;QB-8;MA-01
3;QB-12;MA-01
4;QB-01;MA-01
5;QB-08;MA-01
6;QB-06;MA-01
7;QB-12;MA-02
8;QB-13;MA-02
9;QB-01;MA-02
10;QB-08;MA-02
11;QB-06;MA-02
12;QB-12;MA-03
13;QB-13;MA-03
14;QB-01;MA-03
15;QB-08;MA-03
16;QB-06;MA-03
17;QB-13;MA-04
18;QB-01;MA-04
19;QB-06;MA-04
20;QB-10;MA-05
21;QB-01;MA-05
22;QB-02;MA-05
23;QB-12;MA-06
24;QB-14;MA-06
25;QB-02;MA-06
26;QB-06;MA-06
27;QB-02;MA-07
28;QB-06;MA-07
29;QB-04;MA-08
30;QB-03;MA-08
31;QB-06;MA-08
32;QB-04;MA-09
33;QB-03;MA-09
34;QB-06;MA-09
35;QB-14;MA-10
36;QB-04;MA-10
37;QB-03;MA-10
38;QB-06;MA-10
39;QB-05;MA-11
40;QB-06;MA-11
41;QM-65;MA-12
42;QB-12;MA-12
43;QB-05;MA-12
44;QB-07;MA-12
45;QB-04;MA-12
46;QB-03;MA-12
47;QB-06;MA-12
48;QB-13;MA-13
49;QB-07;MA-13
50;QB-06;MA-13
51;QB-12;MA-14
52;QB-13;MA-14
53;QB-14;MA-14
54;QB-04;MA-14
55;QB-06;MA-14
56;QB-14;MA-15
57;QB-05;MA-15
58;QB-06;MA-15
59;QB-13;MA-16
60;QB-06;MA-16
61;QB-13;MA-17
62;QB-12;MA-17
63;QB-06;MA-17
64;QB-11;MA-18
65;QB-09;MA-18
66;QB-06;MA-18
67;QB-09;MA-19
68;QB-10;MA-20
69;QB-09;MA-20
70;QB-06;MA-20
71;QB-11;MA-21
72;QB-14;MA-21
73;QB-14;MA-22
74;QB-09;MA-22
75;QB-12;MA-23
76;QB-13;MA-23
77;QB-06;MA-23
78;QB-12;MA-24
79;QB-13;MA-24
80;QB-06;MA-24
81;QB-13;MA-25
82;QB-10;MA-26
83;QB-01;MA-27
84;QB-02;MA-27
85;QB-03;MA-27
86;QB-04;MA-27
87;QB-05;MA-27
88;QB-06;MA-27
89;QB-07;MA-27
90;QB-12;MA-27
91;QB-13;MA-27
92;QB-03;MA-28
93;QB-06;MA-28
94;QB-13;MA-29
95;QB-15;MA-30
