id;qcrit_yaml_id;qbau_yaml_id
1;QKB-03;QB-01
2;QKB-03;QB-02
3;QKB-06;QB-02
4;QKB-04;QB-02
5;QKB-07;QB-02
6;QKB-01;QB-03
7;QKB-01;QB-04
8;QKB-01;QB-05
9;QKB-08;QB-05
10;QKB-07;QB-05
11;QKB-01;QB-06
12;QKB-02;QB-07
13;QKB-04;QB-07
14;QKB-06;QB-08
15;QKB-04;QB-08
16;QKB-10;QB-09
17;QKB-02;QB-09
18;QKB-07;QB-09
19;QKB-09;QB-09
20;QKB-05;QB-09
21;QKB-10;QB-10
22;QKB-05;QB-10
23;QKB-04;QB-10
24;QKB-07;QB-10
25;QKB-06;QB-10
26;QKB-08;QB-10
27;QKB-10;QB-11
28;QKB-04;QB-11
29;QKB-09;QB-11
30;QKB-05;QB-12
31;QKB-04;QB-12
32;QKB-06;QB-12
33;QKB-08;QB-13
34;QKB-10;QB-14
35;QKB-07;QB-14
36;QKB-05;QB-14
37;QKB-06;QB-14
38;QKB-01;QB-15
